year,0-14,15-29,30-44,45-59,60-74,75-84,85+
1900,705075.5283133145,678881.3130089996,554244.2673772417,436672.7162582689,269652.28046659566,61275.73845684889,8266.15611873041
1901,703131.009978223,675303.429813478,557289.0043233226,437138.0461224417,267426.03740172205,63393.54248323319,12035.677746962438
1902,702276.5242436476,671038.4026982379,560351.2653603775,437737.29109412944,265692.4600841989,65124.03233334073,14194.823913930908
1903,702457.0202359934,666111.2531262961,563429.5770728379,438463.02240945585,264390.3242171975,66442.16274121078,15193.1036189521
1904,703619.4341409047,660546.3517418415,566522.4984823691,439308.05312482687,263463.66330471204,67345.62546769441,15372.516577518409
1905,705712.6268475035,654367.4336235382,569628.6205221704,440265.43174517417,262861.38624119025,67847.97457785293,14991.228585648016
1906,708687.3234011496,647597.6131935135,572746.5655186392,441328.43600230163,262536.9203386089,67973.38093192152,14242.298696124442
1907,712395.5696965491,640259.3987896908,575874.9866803025,442490.56678002654,262447.8781884227,67752.6700962794,13268.455353122652
1908,716752.6533254039,632374.7069089684,579012.5675939239,443745.5421828848,262555.7468531929,67220.36682651116,12173.723059739874
1909,721677.9050795527,623964.8761285708,582158.0217276938,445087.2917452351,262825.5979743227,66412.52501366052,8949.774242413552
1910,727094.5546991375,615050.6807127419,585310.0919414085,446509.9507776629,263225.81746850535,65365.16697751284,6445.341016610482
1911,732929.5910897483,605652.343911785,588467.5500035532,448007.8548476524,263727.8535665576,62025.26840562984,6600.715293480293
1912,738969.7161151845,595789.550960309,591629.1961151953,449575.5343915515,264305.98202455544,58856.02529117578,6866.923314336384
1913,745147.0426896032,585481.4617813752,594793.8584406032,451207.7094549338,264937.08740889904,55848.71782289786,7187.963121055706
1914,751397.3140563947,574746.7234031052,597960.3926445008,452899.284558501,265600.4594243668,52995.071737019076,4817.485125903724
1915,757659.7690321092,563603.482094149,601127.6814358754,454645.34368674725,266277.60331762885,50287.23555154434,2424.545403801991
1916,754127.1536495426,560903.3390276345,597977.5678482427,457520.5483871166,267845.61404004483,52977.785701220106,0.0
1917,749953.4797902798,559161.2349927581,594203.6870595717,460353.3880638541,269287.54203086614,52666.02089740773,0.0
1918,745148.841619786,558344.3207900117,589830.4970392855,463143.7813939782,270608.5570891938,51850.39417950905,0.0
1919,739723.5733026023,558420.6140000817,584881.7858422038,465891.6612487455,271813.6065562683,50591.33854379829,0.0
1920,733688.2291578453,559358.977858727,579380.6878340621,468596.974292619,272907.42577446165,48937.852299288876,0.0
1921,727053.5646106,561129.1006283397,573349.6995436811,471259.68059087236,273894.5480293066,44726.83116368846,0.0
1922,720453.0121162124,563629.599692548,566810.6951501861,473879.7532256659,274779.314000658,37686.28056903616,0.0
1923,713964.6041980919,566802.7618178519,559784.9416134895,476457.1779204268,275565.88074775896,29829.1963464331,0.0
1924,707661.5315995155,570592.9009568545,552293.1134560632,478991.95267237537,276258.23025171604,21029.3870863532,0.0
1925,701612.3385702858,574946.30340058,544355.3072038518,481484.0873930395,276860.17753770144,11141.858484676883,0.0
1926,695881.111629505,579811.1742597483,535991.055494002,483933.6035566005,277375.37839805667,0.0,0.0
1927,690692.384133123,585034.6470391677,527219.340856912,486340.5338559204,266661.74926841864,0.0,0.0
1928,686113.60957411,590565.6064502418,518058.60917993804,488704.9218660986,255861.07773435005,0.0,0.0
1929,682205.4991398571,596354.8814926598,508526.78285993123,491026.82171541546,238523.61923973577,0.0,0.0
1930,679022.3467107466,602355.1916303724,498641.27365161886,493306.2977635144,220850.0903304541,0.0,0.0
1931,676612.3420036733,599714.9647830653,496432.41741380095,490762.2812674739,208400.61566934743,0.0,0.0
1932,674781.1156789333,596573.9769520651,495058.94649403094,487671.11883187183,195333.52959681198,0.0,0.0
1933,673537.0099713773,592933.8544525743,494489.8013168741,484058.3951035696,181646.30065533545,0.0,0.0
